,GEOID,race_prop,race_nonw,tenu_p-rent,tenu_rent,tenu_tot
2204,410359719002,0.07796101949025487,52,0.6869300911854104,226,329
2205,410359720002,0.10964083175803403,116,0.4856512141280353,220,453
2206,410359720003,0.08906882591093117,154,0.3847376788553259,242,629
2207,410470002003,0.24973821989528797,477,0.6017241379310345,349,580
2208,410470003001,0.3357041251778094,472,0.5363984674329502,280,522
2209,410470012001,0.097926267281106,170,0.45962732919254656,370,805
2210,410510025022,0.04891304347826087,54,0.7884972170686456,425,539
2211,410510025021,0.11440677966101695,81,0.29435483870967744,73,248
2212,410510027012,0.16643356643356644,238,0.05668016194331984,28,494
2213,410510037014,0.4229122055674518,395,0.250814332247557,77,307
2214,410510039021,0.07768361581920905,55,0.3203125,82,256
2215,410510048001,0.13043478260869565,138,0.7712328767123288,563,730
2216,410510049001,0.14703389830508476,347,0.7729468599033816,1120,1449
2217,410510067021,0.1614092585006145,394,0.5153172866520788,471,914
2218,410510105001,0.06274821286735505,79,0.07225433526011561,25,346
2219,410510082013,0.30080213903743314,225,0.3980891719745223,125,314
2220,410510038033,0.18281786941580755,266,0.43548387096774194,243,558
2221,410510063002,0.13388138578978273,228,0.04954954954954955,22,444
2222,410510032003,0.17363751584283904,137,0.17391304347826086,56,322
2223,410510032001,0.17380352644836272,207,0.6229166666666667,299,480
2224,410510033022,0.34263632460283383,798,0.5765472312703583,531,921
2225,410510034013,0.40188383045525905,256,0.15827338129496402,44,278
2226,410510003021,0.09397749834546658,142,0.026915113871635612,13,483
2227,410670320053,0.16401889222842422,382,0.7470398277717977,694,929
2228,410670308052,0.09283387622149837,57,0.3452054794520548,126,365
2229,410670319072,0.0,0,0.09950248756218906,40,402
2230,410170009001,0.08252615265401007,213,0.6964467005076143,686,985
2231,410170018001,0.11730854360336432,265,0.6099071207430341,591,969
2232,410170018004,0.0453857791225416,60,0.7672955974842768,610,795
2233,410170002003,0.053251121076233185,95,0.624405705229794,394,631
2234,410170002004,0.0,0,0.2914285714285714,102,350
2235,410170003004,0.0,0,0.057667103538663174,44,763
2236,410170005005,0.12967843964153927,246,0.04927884615384615,41,832
2237,410159504003,0.09188138065143413,189,0.33371824480369516,289,866
2238,410159504002,0.0587467362924282,45,0.2597402597402597,160,616
2239,410510096032,0.23645894001164822,406,0.49079754601226994,320,652
2240,410619708003,0.06239015817223199,71,0.3522975929978118,161,457
2241,410619708002,0.3736141906873614,337,0.6216216216216216,230,370
2242,410430203005,0.02795969773299748,111,0.12091254752851711,159,1315
2243,410430203003,0.06066734074823053,60,0.6855983772819473,338,493
2244,410430204003,0.21515368120085776,301,0.6414141414141414,381,594
